JAZZ APPLES 2 LB BAG                                             , 00-66022-00355
EVERCRISP APPLES 2 LB BAG ,07-36264-0021
PINATA APPLES 3 LB BAG,07-41839-00594
KIKU APPLES 2 LB BAG,00-25619-00383 
OPAL APPLES 2 LB BAG                                             ,08-85880-02963
BRAEBURN APPLES 3 LB BAG ,00-41250-04810
GOLDEN DELICIOUS APPLES 3 LB BAG                                 ,00-33383-00081 
JONAGOLD APPLES 3 LB BAG            , 00-41250-04813 
JONATHAN APPLES 3 LB BAG   ,00-41250-04808
RED DELICIOUS APPLES 3 LB BAG,00-41250-04804
FUJI APPLES 3 LB BAG,07-13733-69601
GALA APPLES 3 LB BAG,07-13733-70939
GRANNY SMITH APPLES 3 LB ,00-33383-00153
MCINTOSH APPLES 3 LB BAG,00-33383-08475 
PINK LADY APPLES 3 LB BAG,07-41839-00593
HONEYCRISP APPLES OR 3 LB BAG,07-13733-69598
GALA APPLES OR 3 LB BAG   ,07-13733-69560
FUJI APPLES OR 3 LB BAG,07-13733-69622
GRANNY SMITH APPLES OR 3 LB BAG ,07-13733-69625 
HONEYCRISP APPLES 3 LB BAG ,07-13733-69661 
RED DELICIOUS APPLE BULK LB,00-00000-04016
GOLDEN DELICIOUS APPLE BULK LB   ,00-00000-04020 
JONAGOLD APPLE BULK LB ,00-00000-04020
ENVY APPLE BULK LB,00-00000-03616
EVERCRISP APPLE BULK LB  ,00-00000-03490 
JAZZ APPLE BULK LB ,00-00000-03293
OPAL APPLE BULK LB     ,00-00000-04211
HONEYCRISP APPLE OR BULK LB ,00-00000-93283 
GALA APPLE OR BULK LB ,08-04305-94135
FUJI APPLE OR BULK LB ,00-00000-94131
GRANNY SMITH APPLE OR BULK LB ,07-41839-94017
HONEYCRISP APPLE BULK LB,00-00000-03283
FUJI APPLE BULK LB,00-00000-04131
GALA APPLE BULK LB ,00-00000-04135 
GRANNY SMITH APPLE BULK LB,00-00000-04017
PINK LADY APPLE BULK LB     ,00-00000-04128 
AVOCADOS 48 SZ     ,00-00000-04225
AVOCADOS,00-33383-40154
OR AVOCADO  ,00-32601-50320 
OR BANANAS                                                       ,  00-00000-94011
BANANAS                                                          , 00-00000-04011
BANANAS MINI                                                     , 00-74904-04234
BANANAS PLANTAINS                                                , 00-00000-04235
BLACKBERRIES                                                     ,00-33383-24026
OR BLACKBERRIES     ,07-15756-10022
BLUEBERRIES                                                      , 00-33383-22001
OR BLUEBERRIES                                                   , 07-15756-30009
RASPBERRIES     ,07-61635-20160
OR RASPBERRIES                                                   , 00-32601-60110
STRAWBERRIES ,07-80353-78403 
OR STRAWBERRIES                                                  , 07-80353-78421
RED GRAPEFRUIT 27 CT PLU 4493   ,00-00000-04493
RED GRAPEFRUIT 5 LB                                              , 00-72240-06721
LEMONS 95 CT PLU 4053                                            ,00-00000-04053
OR LEMONS 2 LB                                                   ,00-45255-11977
LEMONS 5 LB                                                      , 00-33383-11902
LEMONS MEYER                                                     ,00-73150-41001
LIMES 150 CT                                                     ,00-00000-04048
LIMES 2 LB                                                       , 00-33383-14683
NAVEL ORANGES 48 CT                     ,00-00000-04012 
GOLD NUGGET MANDARINS                                            ,00-00000-04055 
NAVEL ORANGES 72 CT PLU 3107                                     ,00-00000-03107 
OR NAVEL ORANGES PLU 94012                               ,00-00000-94012 
NAVEL CARA CARA 64 CT                  ,00-00000-03110 
ORANGES MORO BLOOD 48 CT                                                                          ,00-00000-04381 
MINNEOLAS 54 CT                                                  ,00-00000-04383
BLOOD ORANGES 3 LB BAG                                           ,07-91928-11930 
3 LB BAG GOLD NUGGETS POUCH                                      , 06-05049-52163 
NAVEL ORANGES 5 LB                                               ,00-33383-10002 
HEIRLOOM NAVEL ORANGES 3 LB BAG                                  ,00-14668-12002 
OR NAVEL ORANGES 4 LB                                            ,00-32601-50100 
NAVEL CARA CARA 3 LB                    ,06-05049-36672 
MINNEOLAS 3 LB                                                   ,00-33383-11912 
CLEMENTINE MANDARINS 5 LB                                        ,07-72268-32506 
CLEMENTINE MANDARINS 3 LB                                       , 00-33383-14605
CLEMENTINE MANDARINS                                            , 00-72240-43433
OR CLEMENTINES                                                   , 08-28904-00087 
BROCCOLI/CAULIFLOWER COMBO                                       ,08-57514-00463 
OR BROCCOLI                                                      ,00-33383-90406
WRAPPED BROCCOLI CROWNS           ,00-33383-70278 
NAPPA LB                                                         ,00-71430-07502
BOK CHOY LB.                                                     ,00-71430-07501 
CELERY CABBAGE LB                                                , 00-00000-04556 
CABBAGE LB                                                       ,00-00000-04069 
RED CABBAGE LB                                                   ,00-00000-04554
RUTABAGA                                                         ,06-27353-04747 
CARROT STICKS 12 OZ.                                             ,00-71464-01729 
RAINBOW MATCHSTIX CARROTS                                        , 00-71464-01980 
OR CARROTS 2 LB                                                  ,00-32601-04500
OR JUICE CARROT                                                  ,00-78783-90526 
OR CARROTS                                                       ,00-33383-90202 
OR MATCHSTIX CARROTS                                             , 00-71464-01724 
OR CARROT CHIPS 12 OZ.                 ,00-71464-01725
CARROTS                                                          , 00-71464-10031 
CARROTS                                                          , 00-33383-66000 
BABY CUT CARROTS                                                 ,00-33383-66604 
BABY CUT CARROTS                                                 ,00-33383-66602 
OR BABY CARROTS                                                  , 00-33383-90205 
BHF SWEET BABY CARROTS                                           ,00-71464-18095 
OR CARROTS BUNCH                                                 ,00-00000-94094
RAINBOW BUNCH CARROTS OR                                         ,00-78783-90712
RAINBOW BABY CARROTS OR                                          ,00-78783-90726 
OR CAULIFLOWER 6 CT                     ,00-33383-90405 
CAULIFLOWER                                                      ,00-00000-04569
BROCCOFLOWER                                                     , 00-00000-04571
PURPLE CAULIFLOWER                     ,00-33383-90399 
ORANGE CAULIFLOWER                                              ,07-26686-99988 
PASCAL CELERY                                                    , 00-00000-04070
MOM CELERY HEARTS                       ,00-33383-65302
OR CELERY HEARTS                                                 ,00-32601-03120
CELERY STICKS 1.25 LB                                            ,00-73150-15223 
RADISH MINISTIX 8 OZ                                             , 00-74515-00014 
RADISH CHIPS                                                     , 00-74515-00012
RED RADISHES                                                     ,00-74515-01012 
BROCCOLI                                                         ,07-13733-98178 
CUCUMBERS MINI GREENHOUSE OR 12 OZ                               ,00-57836-93000
CUCUMBERS COCKTAIL 1 LB.                                         ,00-57836-16834
CUCUMBERS                                                        , 00-00000-04062
OR CUCUMBERS                                                     ,08-74896-94062 
OR CUCUMBERS GREENHOUSE                                          ,00-57836-94593
CUCUMBERS GREENHOUSE                                             ,00-00000-04593 
CUCUMBERS MINI GREENHOUSE 4 CT                                   ,00-57836-16826 
GREEN BEANS                                                      ,07-13733-67038 
GREEN BEANS                                                      ,00-00000-04066 
EGGPLANT                                                         ,00-00000-04081 
EGGPLANT BABY GREENHOUSE                                         ,00-00000-04599 
SWEET CORN                                                       ,00-00000-04078
BLACK SEEDLESS GRAPES                                            ,00-00000-04056 
GREEN SEEDLESS GRAPES                                            ,00-00000-04022 
RED SEEDLESS GRAPES                                              , 00-00000-04023 
CANTALOUPE 9 CT PLU 4050                                         ,00-00000-04050 
HONEYDEW 5 SIZE PLU 4034                                         ,00-00000-04034 
WATERMELON SEEDLESS PERSONAL 6CT                                 ,08-27575-20007 
WATERMELON SEEDLESS CASE LB                                     ,07-08820-24772 
LARGE GARLIC EA                                                  , 00-00000-04608
SWEET ONION BULK LB                     , 00-00000-04166 
SPANISH ONION BULK LB                  , 00-00000-04093 
RED ONION BULK LB                                                ,  00-00000-04082
WHITE ONION BULK LB                                              ,00-00000-04663 
SHALLOTS BULK LB                                                 ,00-00000-04662 
SWEET ONIONS 5 LB BAG                  , 00-35093-91644 
YELLOW ONIONS OR 3 LB                  ,00-33383-60032
YELLOW ONIONS                                                    ,00-71228-13133 
WHITE ONIONS                                                     ,07-13733-37682 
RED ONIONS                                                       ,00-41250-02733 
ORGANIC WHITE ONION                    ,08-85677-00172 
ORGANIC YELLOW ONION                                             ,08-85677-00170 
